start,end,type,authorL,titleL,authorH,titleH,eolL,eolH,paper
13:40,14:00,talk,Klaus Spanderen,R/QuantLib Integration,Klaus Spanderen,R/QuantLib Integration,,,talk/KlausSpanderen.pdf
14:00,14:20,talk,Bryan Lewis,The scidb package: an R interface to SciDB,Bryan Lewis,The scidb package: an R interface to SciDB,,,talk/BryanLewis.pdf
14:20,14:40,lightning,Matthew Dowle,Introduction to data.table,Matthew Dowle,Introduction to data.table,,,talk/MatthewDowle.pdf
,,lightning,Chris Blakely,"Realizing the Future with C, Java, and R: A Multi-Language High-Frequency Volatility Modeling Environment",Chris Blakely,"Realizing the Future with C, Java, and R: A Multi-Language High-Frequency Volatility Modeling Environment",,,talk/ChrisBlakely.pdf
,,lightning,Mathieu Lestel,Ex post risk analysis: How the GSoC contributed to PerformanceAnalytics,Mathieu Lestel,Ex post risk analysis: How the GSoC contributed to PerformanceAnalytics,,,talk/MathieuLestel.pdf
14:40,15:10,smallbreak,,Break,,Break,,,
15:10,16:00,keynote,Attilio Meucci,Advanced Risk and Portfolio Management - A Visual Introduction,Attilio Meucci,Advanced Risk and Portfolio Management - A Visual Introduction,,,
16:00,16:06,lightning,Brian Peterson,Implementing Meucci's Work in R,Brian Peterson,Implementing Meucci's Work in R,,,talk/BrianPeterson.pdf
16:06,16:26,talk,Thomas Hanson,The Impact of Computational Error on the Volatility Smile,Thomas Hanson,The Impact of Computational Error on the Volatility Smile,,,talk/Chance+Hanson+etal.pdf
16:26,16:38,lightning,Kam Hamidieh,Recovering Risk Neutral Density from Traded Options Using R,Kam Hamidieh,Recovering Risk Neutral Density from Traded Options Using R,,,talk/KamHamidieh.pdf
,,lightning,Jeffrey Ryan,Options Trading with R: An Introduction to the greeks Package,Jeffrey Ryan,Options Trading with R: An Introduction to the greeks Package,,,talk/JeffRyan.pdf
16:38,16:40,normalbreak,,Feedback Forms,,Feedback Forms,,,
16:40,16:45,normalbreak,,Paper Awards,,Paper Awards,,,
16:45,16:50,normalbreak,,Conclusion,,Conclusion,,,
16:50,17:00,normalbreak,,Transition to Jak's,,Transition to Jak's,,,
17:00,,normalbreak,,Post-conference Drinks at Jak's Tap,,Post-conference Drinks at Jak's Tap,,,
